date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:10	13017/13017	---M--	200	added ('OK')	image/jpeg	etag:%22b7ffea9704b978969217da8eef8b81a5-ssl%22	https://andrewborstein.com/assets/img/ri-wifi.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/ri-wifi.jpg	(from https://andrewborstein.com/)
13:30:10	34495/34495	---M--	200	added ('OK')	image/jpeg	etag:%221b2ed5193b96db3c05c64f972952c1c8-ssl%22	https://andrewborstein.com/assets/img/pinteresting.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/pinteresting.jpg	(from https://andrewborstein.com/)
13:30:11	60889/60889	---M--	200	added ('OK')	image/jpeg	etag:%220423bb154092efe5a4b377313faaa447-ssl%22	https://andrewborstein.com/assets/img/shelter-finder.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/shelter-finder.jpg	(from https://andrewborstein.com/)
13:30:11	16269/16269	---M--	200	added ('OK')	image/jpeg	etag:%22110b8ceba61425d73da2ffd857df2e34-ssl%22	https://andrewborstein.com/assets/img/chandon.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/chandon.jpg	(from https://andrewborstein.com/)
13:30:11	35039/35039	---M--	200	added ('OK')	image/jpeg	etag:%2291fb57d48632dbef9a0e17f67e18edd1-ssl%22	https://andrewborstein.com/assets/img/madlibs.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/madlibs.jpg	(from https://andrewborstein.com/)
13:30:11	88136/88136	---M--	200	added ('OK')	image/jpeg	etag:%224ea1734b35693d0d10800552400af067-ssl%22	https://andrewborstein.com/assets/img/cidewalk.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/cidewalk.jpg	(from https://andrewborstein.com/)
13:30:11	19779/19779	---M--	200	added ('OK')	image/jpeg	etag:%2210f35ce7c989d5d00e3245647bf0d0c7-ssl%22	https://andrewborstein.com/assets/img/brownborg-studios.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/brownborg-studios.jpg	(from https://andrewborstein.com/)
13:30:12	6451/6451	---M--	200	added ('OK')	image/png	etag:%225c0d08167e3db5b6ac8e51c52ea9e7d9-ssl%22	https://andrewborstein.com/assets/img/html5.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/html5.png	(from https://andrewborstein.com/)
13:30:12	39411/39411	---M--	200	added ('OK')	image/png	etag:%22b9697b84800d0972a3401d419504da55-ssl%22	https://andrewborstein.com/assets/img/react.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/react.png	(from https://andrewborstein.com/)
13:30:12	20382/20382	---M--	200	added ('OK')	image/png	etag:%22bd842aaa96e260993c1c828bdb8c8033-ssl%22	https://andrewborstein.com/assets/img/haml.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/haml.png	(from https://andrewborstein.com/)
13:30:12	3142/3142	---M--	200	added ('OK')	image/png	etag:%22d4df328535d61addf80bbba3e94a7892-ssl%22	https://andrewborstein.com/assets/img/jade.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/jade.png	(from https://andrewborstein.com/)
13:30:13	6347/6347	---M--	200	added ('OK')	image/png	etag:%22c306573c7308ca5121153e59a2df8fed-ssl%22	https://andrewborstein.com/assets/img/jekyll.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/jekyll.png	(from https://andrewborstein.com/)
13:30:13	6381/6381	---M--	200	added ('OK')	image/png	etag:%2271676518335f3d7cd826a2b42c26484b-ssl%22	https://andrewborstein.com/assets/img/css3.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/css3.png	(from https://andrewborstein.com/)
13:30:13	11881/11881	---M--	200	added ('OK')	image/png	etag:%22d182cb7ea1f90e4f0af9396b7f4f8ebf-ssl%22	https://andrewborstein.com/assets/img/sass.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/sass.png	(from https://andrewborstein.com/)
13:30:13	16038/16038	---M--	200	added ('OK')	image/png	etag:%224c0514fbd3af71972ca9572ed1c2d63a-ssl%22	https://andrewborstein.com/assets/img/bootstrap.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/bootstrap.png	(from https://andrewborstein.com/)
13:30:14	51924/51924	---M--	200	added ('OK')	image/png	etag:%2290f45499094cbae16dfcd1419cbe3b11-ssl%22	https://andrewborstein.com/assets/img/foundation.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/foundation.png	(from https://andrewborstein.com/)
13:30:14	40738/40738	---M--	200	added ('OK')	image/png	etag:%22270ce5521b5fc928447f5c91a7024407-ssl%22	https://andrewborstein.com/assets/img/materialize.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/materialize.png	(from https://andrewborstein.com/)
13:30:14	4410/4410	---M--	200	added ('OK')	image/png	etag:%22f8d1e17bbbc87ab83fd8c71fdbf6b1ea-ssl%22	https://andrewborstein.com/assets/img/javascript.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/javascript.png	(from https://andrewborstein.com/)
